,country,id,cl,age_of_biz,onboard_date,stmt_start,stmt_end,-3_inflow,-2_inflow,-1_inflow,-3_outflow,-2_outflow,-1_outflow,-3_net_cash,-2_net_cash,-1_net_cash,-3_end_bal,-2_end_bal,-1_end_bal,cb_report_found,cb_inquiries_l12m,cb_trades_30_plus_l6m,cb_trades_repaid,cb_trades_active
272,Mexico,10091,55000,9,12/1/2022,8/1/2022,11/1/2022,1090000,1760000,2700000,1090000,1730000,2740000,153,33200,-33200,158,33400,111,1,11,0,18,9
273,Mexico,9840,170000,2,12/1/2022,8/1/2022,11/1/2022,120000,106000,89300,123000,115000,27700,-3240,-8380,61600,11400,3020,64600,1,1,0,0,0
274,Mexico,10512,90000,36,12/1/2022,8/1/2022,11/1/2022,260000,257000,309000,292000,236000,333000,-32000,21200,-23800,364000,385000,361000,1,8,0,4,6
275,Mexico,10486,10000,20,12/1/2022,8/1/2022,11/1/2022,621000,135000,1070000,620000,135000,1070000,166,-120,-108,1040,920,812,1,1,0,0,0
276,Mexico,10435,160000,3,12/1/2022,8/1/2022,11/1/2022,134000,152000,201000,134000,145000,201000,-21,6510,-301,5460,12000,11700,1,2,0,1,0
277,Mexico,10753,170000,10,12/1/2022,8/1/2022,11/1/2022,96500,135000,143000,101000,139000,139000,-4380,-4170,3780,6640,2480,6260,1,17,0,5,14
278,Colombia,10639,3000,9,12/1/2022,8/1/2022,11/1/2022,39200,302000,70900,32100,215000,90800,7130,87200,-20000,42300,130000,110000,1,1,0,3,1
279,Mexico,10203,300000,5,12/1/2022,8/1/2022,11/1/2022,169000,679000,587000,239000,678000,587000,-69600,417,-69,744,1160,1090,1,22,0,2,2
280,Colombia,5566,3500,5,12/1/2022,8/1/2022,11/1/2022,592000,547000,606000,606000,583000,580000,-13400,-36200,26000,147000,111000,137000,1,2,0,1,5
281,Colombia,10200,1500,3,12/1/2022,8/1/2022,11/1/2022,15600,19800,18000,12800,25000,12300,2850,-5240,5650,10100,1920,7570,1,1,0,0,0
282,Colombia,1512,1500,3,12/1/2022,8/1/2022,11/1/2022,54000,47100,26800,33700,53000,37100,20300,-5880,-10200,20600,14700,4440,1,1,0,0,1
283,Colombia,9102,25000,8,12/1/2022,8/1/2022,11/1/2022,295000,259000,232000,192000,322000,226000,104000,-62100,5180,188000,126000,131000,1,1,0,0,2
284,Colombia,10851,700,8,12/1/2022,8/1/2022,11/1/2022,17100,15400,16400,15600,16700,16700,1450,-1330,-324,5200,3870,3550,1,4,0,0,3
285,Mexico,9689,5000,20,11/1/2022,7/1/2022,10/1/2022,409000,603000,238000,468000,477000,441000,-58700,125000,-203000,111000,237000,34000,1,1,0,1,2
286,Mexico,8921,400000,4,11/1/2022,7/1/2022,10/1/2022,1060000,1480000,1070000,1070000,1520000,902000,-14000,-40000,165000,45300,5310,171000,1,1,0,0,0
287,Mexico,10213,30000,1,11/1/2022,7/1/2022,10/1/2022,17600,18400,16600,18100,18300,16600,-537,68,0,1,69,69,1,1,0,0,0
288,Mexico,9760,520000,13,11/1/2022,7/1/2022,10/1/2022,205000,390000,364000,228000,358000,375000,-23100,32600,-11200,36300,68900,57700,1,2,0,0,1
289,Mexico,9913,70000,5,11/1/2022,7/1/2022,10/1/2022,46400,34800,36100,37100,38200,42400,9300,-3450,-6310,29100,25700,19300,1,4,0,0,1
290,Mexico,10089,5000,6,11/1/2022,7/1/2022,10/1/2022,267000,278000,193000,265000,220000,212000,2140,57700,-18700,177000,235000,216000,1,4,0,0,0
291,Mexico,10121,300000,5,11/1/2022,7/1/2022,10/1/2022,196000,274000,238000,200000,277000,238000,-3570,-2300,453,2780,483,936,1,38,1,0,12
292,Colombia,10028,5000,4,11/1/2022,7/1/2022,10/1/2022,77200,130000,129000,121000,122000,74300,-44300,7330,54500,80900,88300,143000,1,2,0,1,1
293,Mexico,4464,70000,11,11/1/2022,7/1/2022,10/1/2022,207000,154000,204000,208000,149000,208000,-901,4160,-4520,418,4580,65,1,7,0,3,4
